,Artista,Latinoamericano,Urbano
1,Bad Bunny,Sí,Sí
2,Peso Pluma,Sí,Sí
3,Feid,Sí,Sí
4,Junior H,Sí,Sí
5,Karol G,Sí,Sí
6,Taylor Swift,No,No
7,Rauw Alejandro,Sí,Sí
8,Natanael Cano,Sí,Sí
9,Shakira,Sí,Sí
10,Grupo Frontera,Sí,Sí
11,Fuerza Regida,Sí,Sí
12,Anuel AA,Sí,Sí
13,Carin Leon,Sí,No
14,The Weeknd,No,No
15,Bizarrap,Sí,Sí
16,Ana Castela,Sí,No
17,Myke Towers,Sí,Sí
18,Daddy Yankee,Sí,Sí
19,Duki,Sí,Sí
20,Quevedo,No,Sí
21,Ozuna,Sí,Sí
22,Luis Miguel,Sí,No
23,Henrique & Juliano,Sí,No
24,Mora,Sí,Sí
25,J Balvin,Sí,Sí
26,Eladio Carrion,Sí,Sí
27,MC Ryan SP,Sí,Sí
28,Rels B,No,Sí
29,Morat,Sí,No
30,Luis R Conriquez,Sí,Sí
31,Maluma,Sí,Sí
32,Marilia Mendonça,Sí,No
33,María Becerra,Sí,Sí
34,Manuel Turizo,Sí,Sí
35,Jorge & Mateus,Sí,No
36,Ke Personajes,Sí,Sí
37,Christian Nodal,Sí,No
38,Gabito Ballesteros,Sí,Sí
39,Jhayco,Sí,Sí
40,BTS,No,No
41,Arcangel,Sí,Sí
42,Gusttavo Lima,Sí,No
43,Aldredo Olivas,Sí,No
44,Coldplay,No,No
45,Lana Del Rey,No,No
46,Young Miko,Sí,Sí
47,Romeo Santos,Sí,Sí
48,Grupo Firme,Sí,Sí
49,Veigh,Sí,Sí
50,KayBlack,Sí,Sí